Sequence,Overlap,Failures,FPS,MOSSE Overlap,MOSSE Failures,MOSSE FPS,Frames
ball,0.54,0,151.61,0.4,0,604.89,602
basketball,0.56,5,64.83,0.46,5,290.86,725
bicycle,0.51,1,152.12,0.49,0,1327.93,271
bolt,0.64,1,85.66,0.63,3,451.45,350
car,0.44,0,133.39,0.4,0,1219.36,252
david,0.66,0,57.74,0.69,1,202.34,770
diving,0.37,3,64.67,0.32,2,279.77,219
drunk,0.3,1,70.48,0.38,0,182.45,1210
fernando,0.39,3,38.77,0.43,5,146.73,292
fish1,0.38,9,163.32,0.37,13,912.09,436
fish2,0.41,4,76.90,0.25,5,344.86,310
gymnastics,0.65,2,101.22,0.58,3,416.52,207
hand1,0.47,8,139.93,0.41,7,535.32,244
hand2,0.5,14,157.27,0.43,14,819.67,267
jogging,0.73,1,96.61,0.72,1,454.71,307
motocross,0.52,2,42.19,0.49,1,168.21,164
polarbear,0.6,0,80.00,0.5,0,638.04,371
skating,0.43,0,94.74,0.5,2,459.16,400
sphere,0.44,0,72.70,0.73,1,215.42,201
sunshade,0.75,0,151.72,0.74,2,854.10,172
surfing,0.73,0,216.74,0.41,0,1410.87,282
torus,0.73,3,151.17,0.59,6,834.31,264
trellis,0.53,0,80.15,0.65,3,549.17,569
tunnel,0.32,0,90.85,0.33,0,522.36,731
woman,0.76,1,127.33,0.77,1,638.37,597
Average,0.53,2.32,106.48,0.51,3.00,579.16,408.52
